stamp_sec,p_lidar_x,p_lidar_y,p_lidar_z,v_lidar_x,v_lidar_y,v_lidar_z,speed_2d,fix_type,flags,h_acc_mm,v_acc_mm,s_acc_mm_s,quality
1783929976.156982899,17.062318,-1.795311,-0.087075,-0.032811,-0.568849,0.000000,0.569795,3,131,20,50,50,high
1783929976.337047338,17.057289,-1.933525,-0.087075,-0.119770,-0.699766,0.000000,0.709942,3,131,20,50,50,high
1783929976.337321520,17.040588,-2.002466,-0.087075,-0.147397,-0.698441,0.000000,0.713825,3,131,20,50,50,high
1783929976.537061453,17.023887,-2.071407,-0.087075,-0.146600,-0.675024,0.000000,0.690760,3,131,20,50,50,high
1783929976.537122488,17.007186,-2.140348,-0.087075,-0.044313,-0.609453,0.000000,0.611062,3,131,20,50,50,high
1783929976.716995955,17.008012,-2.195667,-0.087075,-0.137612,-0.546450,0.000000,0.563511,3,131,20,50,50,high
1783929976.717067957,16.991311,-2.264608,-0.087075,-0.086706,-0.703197,0.000000,0.708522,3,131,20,50,50,high
1783929976.937190771,16.983373,-2.326738,-0.087075,-0.041511,-0.621207,0.000000,0.622592,3,131,20,50,50,high
1783929976.937467098,16.989622,-2.389034,-0.087075,0.044083,-0.643336,0.000000,0.644845,3,131,20,50,50,high
1783929977.157056808,17.001293,-2.458306,-0.087075,0.055006,-0.766567,0.000000,0.768538,3,131,20,50,50,high
1783929977.537064552,16.988325,-2.658650,-0.087075,-0.049216,-0.580333,0.000000,0.582417,3,131,20,50,50,high
1783929977.537112474,16.989151,-2.713969,-0.087075,-0.059386,-0.570507,0.000000,0.573590,3,131,20,50,50,high
1783929977.737110853,16.960347,-2.803509,-0.087075,-0.109177,-0.490152,0.000000,0.502164,3,131,20,50,50,high
1783929977.737173796,16.955749,-2.851851,-0.087075,-0.024811,-0.510703,0.000000,0.511305,3,131,20,50,50,high
1783929977.936900377,16.965338,-2.900358,-0.087075,-0.008399,-0.476415,0.000000,0.476489,3,131,20,50,50,high
1783929977.936969757,16.955317,-2.941723,-0.087075,0.013084,-0.492648,0.000000,0.492821,3,131,20,50,50,high
